symbol,company_name,as_of_date,sector,sub_sector,board,is_event_90d,event_date,event_category,already_flagged,data_complete,feature_max_source_date,raw_revenue,raw_earnings,raw_total_equity,raw_total_liabilities,raw_total_assets,raw_total_debt,raw_operating_cash_flow,raw_free_cash_flow,raw_report_date,raw_close,raw_volume,raw_market_cap,raw_free_float,lapor_jarak_hari,lapor_terlambat,tanpa_pendapatan,ekuitas_negatif,utang_terhadap_aset,ako_negatif_berturut,hari_tanpa_transaksi_90d,rasio_volume_30_90,hari_di_batas_bawah_90d,turun_dari_puncak_90d,volatilitas_90d,free_float_rendah
MLPT.JK,PT Multipolar Technology Tbk,2026-08-31,Technology,Software & IT Services,Development,0,,,1,1,2026-08-31,938883000000.0,107929000000.0,745801000000,2990887000000,3736688000000,214118000000.0,73746000000.0,61837000000.0,2026-06-30,1275,3683400,59765625000000,,62,1,0.0,0,0.8004112197753732,0,0,0.34374882904558585,0,0.33766233766233766,0.09024918249162377,
INET.JK,PT Sinergi Inti Andalan Prima Tbk,2026-08-31,Infrastructures,Telecommunication,Development,0,,,0,1,2026-08-31,383603471565.0,13658452028.0,3732955579367,1957595840407,5690551419774,1531576615350.0,1117195280.0,-432274458503.0,2026-03-31,350,916587400,7831590320050,,153,1,0.0,0,0.3440081102869194,0,0,1.93169483952447,0,0.0,0.05951595729756367,
MINA.JK,PT Sanurhasta Mitra Tbk,2026-08-31,Consumer Cyclicals,Consumer Services,Watchlist,0,,,1,1,2026-08-31,2245525100.0,312813236.0,250610826355,3039806857,253650633212,,315801422.0,-593887632.0,2026-06-30,272,37360700,2677500000000,,62,1,0.0,0,0.011984227354399482,0,0,0.8235926264168821,0,0.09933774834437085,0.03636730421823466,
BBCA.JK,PT Bank Central Asia Tbk.,2026-09-11,Financials,Banks,Main,0,,,0,1,2026-09-11,28677339000000.0,14861321000000.0,270667746000000,1379511881000000,1660579336000000,,-15658754000000.0,-16453704000000.0,2026-06-30,6325,187922700,771917544337500,0.44642,73,1,0.0,0,0.8307413268931585,1,0,0.7152169156882757,0,0.06642066420664207,0.02005737053740135,0.0
TLKM.JK,PT Telkom Indonesia (Persero) Tbk,2026-09-11,Infrastructures,Telecommunication,Main,0,,,0,1,2026-09-11,38689000000000.0,6279000000000.0,134848000000000,168239000000000,303087000000000,56915000000000.0,17572000000000.0,11317000000000.0,2026-06-30,2600,88455300,257561763160000,0.4165,73,1,0.0,0,0.5550848436257576,0,0,0.7882656646846965,0,0.12162162162162163,0.02151956027552001,0.0
ASII.JK,Astra International Tbk,2026-09-11,Industrials,Multi-sector Holdings,Main,0,,,0,1,2026-09-11,79245000000000.0,6683000000000.0,289844000000000,224673000000000,514517000000000,119090000000000.0,9980000000000.0,7082000000000.0,2026-06-30,4910,42109400,198774245917400,0.4842,73,1,0.0,0,0.43666778745891777,0,0,0.9178177185312536,0,0.04660194174757282,0.019683867976144485,0.0
AMMN.JK,PT Amman Mineral Internasional Tbk.,2026-09-11,Basic Materials,Basic Materials,Main,0,,,0,1,2026-09-11,13732936650720.0,2722562272140.0,94870592355600,143273384112480,238143976468080,110786062912260.0,3289192602240.0,1690559055360.0,2026-03-31,4860,89519400,352438537808160,0.25257,164,1,0.0,0,0.6016250599211939,0,0,0.7697482765570817,0,0.010183299389002037,0.03528908856570398,0.0
IMPC.JK,PT Impack Pratama Industri Tbk,2026-09-11,Industrials,Industrial Goods,Main,0,,,0,1,2026-09-11,1289965716265.0,243898051256.0,3413006148968,1911646326302,5324652475270,1060939124233.0,271762241515.0,154982281413.0,2026-06-30,1720,29712200,94440040000000,0.2223,73,1,0.0,0,0.35901804581247626,0,0,1.4337424126444356,0,0.036414565826330535,0.03906610985020856,0.0
AADI.JK,PT Adaro Andalan Indonesia Tbk,2026-09-11,Energy,"Oil, Gas & Coal",Main,0,,,0,1,2026-09-11,26891529196000.0,5919682573000.0,70419659821000,42728474901000,113148134722000,12581189201000.0,7241595319000.0,6361036115000.0,2026-06-30,12225,10693500,95194751766000,0.18383,73,1,0.0,0,0.37763304720826363,0,0,1.1272435745454938,0,0.018072289156626505,0.021385121373382023,0.0
MGLV.JK,PT Panca Anugrah Wisesa Tbk,2026-09-11,Consumer Cyclicals,Household Goods,Acceleration,0,,,1,1,2026-09-11,,,114233933519,69809832851,184043766370,7625053.0,,,2026-06-30,15250,1932800,29049472017750,0.2422,73,1,,0,0.37931104230205176,0,1,2.238236171327145,0,0.0,0.04146650920984452,0.0
