symbol,snapshot_date,free_float,sub_sector,fetched_at,raw_response
ARMY.JK,2026-09-03,0.49872,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ARMY.JK', 'free_float': 0.49872, 'company_name': 'PT Armidian Karyatama Tbk'}"
BTEL.JK,2026-09-03,0.4965,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BTEL.JK', 'free_float': 0.4965, 'company_name': 'Bakrie Telecom Tbk'}"
FLMC.JK,2026-09-03,0.4963,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'FLMC.JK', 'free_float': 0.4963, 'company_name': 'PT Falmaco Nonwoven Industri Tbk'}"
BBYB.JK,2026-09-03,0.495,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BBYB.JK', 'free_float': 0.495, 'company_name': 'PT Bank Neo Commerce Tbk.'}"
PTPP.JK,2026-09-03,0.4931,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PTPP.JK', 'free_float': 0.4931, 'company_name': 'PP (Persero) Tbk'}"
BANK.JK,2026-09-03,0.492,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BANK.JK', 'free_float': 0.492, 'company_name': 'PT Bank Aladin Syariah Tbk'}"
SMGR.JK,2026-09-03,0.49061,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SMGR.JK', 'free_float': 0.49061, 'company_name': 'Semen Indonesia (Persero) Tbk'}"
UDNG.JK,2026-09-03,0.4901,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'UDNG.JK', 'free_float': 0.4901, 'company_name': 'PT Agro Bahari Nusantara Tbk'}"
LAPD.JK,2026-09-03,0.49,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'LAPD.JK', 'free_float': 0.49, 'company_name': 'Leyand International Tbk'}"
ISAP.JK,2026-09-03,0.4898,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ISAP.JK', 'free_float': 0.4898, 'company_name': 'PT Isra Presisi Indonesia Tbk'}"
BMBL.JK,2026-09-03,0.4889,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BMBL.JK', 'free_float': 0.4889, 'company_name': 'PT Lavender Bina Cendikia Tbk'}"
ASPI.JK,2026-09-03,0.4882,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ASPI.JK', 'free_float': 0.4882, 'company_name': 'PT Andalan Sakti Primaindo Tbk.'}"
WINR.JK,2026-09-03,0.488,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'WINR.JK', 'free_float': 0.488, 'company_name': 'PT Winner Nusantara Jaya Tbk'}"
BJTM.JK,2026-09-03,0.48772,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BJTM.JK', 'free_float': 0.48772, 'company_name': 'Bank Pembangunan Daerah Jawa Timur Tbk'}"
COCO.JK,2026-09-03,0.4868,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'COCO.JK', 'free_float': 0.4868, 'company_name': 'PT Wahana Interfood Nusantara Tbk'}"
INCI.JK,2026-09-03,0.48642,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'INCI.JK', 'free_float': 0.48642, 'company_name': 'Intanwijaya Internasional Tbk'}"
